City,Cinema,Total_Sales,Rank
Allentown,88034 Baker Trafficway,99205,1
Allentown,0794 Miller Place,63935,2
Allentown,3419 Griffin Keys,37965,3
Atlanta,049 William Parkways,107937,1
Atlanta,38418 Vincent Passage Suite 503,101992,2
Atlanta,680 Shawn Valleys,71995,3
Atlanta,334 Simmons Branch Suite 380,71852,4
Augusta,3828 William Turnpike,112594,1
Augusta,6344 Douglas Brooks,103523,2
Austin,96005 Barber Flats Apt. 267,81850,1
Austin,70360 Jill Points,49925,2
Buffalo,264 Marshall Islands,116489,1
Buffalo,150 Elizabeth Path Suite 550,50170,2
Chicago,834 Christine Orchard Apt. 381,83614,1
Chicago,87747 Ross Parks Apt. 527,54275,2
Chicago,8168 Weaver Plaza Apt. 175,40574,3
Dallas,91641 John Islands,103133,1
Los Angeles,4620 Shannon Dale Suite 351,87485,1
Los Angeles,617 Jones Drive Suite 929,73812,2
Los Angeles,5567 Johnston Lodge Suite 478,54815,3
Los Angeles,1697 Coleman Fork Suite 182,44938,4
Miami,22522 Savage Rest Suite 648,87228,1
Orlando,8292 Phillips Unions Apt. 404,69910,1
Orlando,2453 Mary Meadow Apt. 952,57201,2
Peoria,1036 Edwards Flats Suite 078,62505,1
Peoria,8952 Zhang Prairie,34945,2
Pittsburgh,360 Jessica Square,116014,1
Rochester,2562 Don Garden Suite 520,76000,1
Rochester,73551 West Spur,69630,2
Rochester,821 Ruben Forges,40695,3
San Diego,9944 April Squares,140091,1
San Diego,1921 Gonzalez Trace Apt. 906,97642,2
San Diego,7120 Jennifer Station,53421,3
Savannah,1835 Charles Trail,136198,1
Savannah,7083 Mahoney Street,135005,2
Savannah,12635 Joseph Street Suite 224,111430,3
Savannah,5686 Jones Lane,75771,4
Savannah,30546 Angela Grove,75241,5
Seattle,478 Thomas Rest Apt. 466,73245,1
Seattle,537 Mejia Wall Suite 409,60255,2
Spokane,37403 Leonard Circles Apt. 238,78490,1
Springfield,0083 Jasmine Canyon Suite 151,79305,1
Springfield,5869 Willis Summit,75000,2
Tacoma,38500 Robert Meadow,97405,1
Tacoma,0151 Nicole Road Apt. 213,83195,2
Tacoma,577 Robinson Villages Apt. 588,50622,3
Tampa,468 Ashley Lock,101765,1
Tampa,91617 Cole Underpass,88380,2
Tampa,122 Mckee Flat Suite 088,84826,3
Tampa,4556 Lydia Junctions,68605,4
