Director,Movie,Total_Sales,Rank
Aaron Ruiz,Implemented encompassing leverage,8775,1
Aaron Ruiz,Object-based context-sensitive standardization,7745,2
Aaron Ruiz,Phased content-based benchmark,7705,3
Aaron Ruiz,Upgradable attitude-oriented archive,7485,4
Aaron Ruiz,Front-line fresh-thinking time-frame,6996,5
Aaron Ruiz,Expanded tertiary frame,6930,6
Aaron Ruiz,Inverse well-modulated encryption,6565,7
Aaron Ruiz,Stand-alone background info-mediaries,5880,8
Allison Newman,Distributed fresh-thinking portal,3840,1
Allison Torres,Open-source system-worthy middleware,7745,1
Allison Torres,Future-proofed solution-oriented archive,6025,2
Allison Torres,Versatile bottom-line alliance,5795,3
Allison Torres,Assimilated attitude-oriented model,5580,4
Allison Torres,Fully-configurable local standardization,5235,5
Amanda Nelson,Integrated systemic throughput,4465,1
Amanda Sanchez,User-centric clear-thinking customer loyalty,7580,1
Amber Brown,Total non-volatile collaboration,9885,1
Amber Butler,Quality-focused scalable open architecture,5960,1
Amber Cooper,Open-architected bandwidth-monitored matrices,6195,1
Amber Jones,Grass-roots systemic Graphic Interface,6135,1
Amy Cole,Total holistic encoding,5545,1
Amy Reyes,Multi-channeled fault-tolerant access,6930,1
Andrea Crawford,Programmable bi-directional parallelism,9299,1
Andrea Crawford,Seamless bi-directional Graphical User Interface,9200,2
Andrea Crawford,Synchronized intermediate Graphic Interface,8265,3
Andrea Crawford,Multi-tiered background migration,8130,4
Andrea Crawford,Automated demand-driven projection,7845,5
Andrea Crawford,Balanced background software,7190,6
Andrea Crawford,Optional static benchmark,5867,7
Andrew Martinez,Ameliorated scalable concept,6545,1
Andrew Reeves,Stand-alone value-added Graphical User Interface,7240,1
Andrew Stone,Progressive executive pricing structure,7700,1
Andrew Stone,Upgradable global benchmark,6655,2
Angela Johnson,Profound value-added orchestration,6430,1
Angela Reynolds,Future-proofed methodical info-mediaries,8567,1
Angela Reynolds,Fully-configurable value-added solution,7580,2
Angela Reynolds,Automated scalable circuit,5907,3
Angela Reynolds,Inverse full-range circuit,5485,4
Angela Reynolds,Centralized global support,5345,5
Angela Reynolds,Adaptive needs-based superstructure,4550,6
Anita Cervantes,Front-line fresh-thinking time-frame,6996,1
Ann Beasley,Fully-configurable grid-enabled archive,5670,1
Anna Petty,Up-sized methodical solution,8685,1
Anna Smith,Integrated value-added software,4375,1
Anne Stevens PhD,Down-sized methodical project,7440,1
