Movie,gender,Tickets_Sold,Rank
Inverse reciprocal secured line,F,100,1
Open-source system-worthy middleware,F,93,2
Self-enabling real-time task-force,F,85,3
Decentralized bottom-line collaboration,F,81,4
Automated foreground success,F,70,5
Cross-platform client-driven time-frame,F,69,6
Ameliorated transitional hardware,F,63,7
Upgradable global benchmark,F,61,8
Automated stable analyzer,F,59,9
Face-to-face bi-directional info-mediaries,F,59,9
Exclusive holistic benchmark,F,56,11
Ameliorated dedicated process improvement,F,53,12
Team-oriented human-resource database,F,53,12
Decentralized bottom-line collaboration,M,91,1
Inverse reciprocal secured line,M,82,2
Open-source system-worthy middleware,M,82,2
Cross-platform client-driven time-frame,M,77,4
Automated foreground success,M,72,5
Versatile bottom-line alliance,M,72,5
Team-oriented human-resource database,M,69,7
Self-enabling real-time task-force,M,67,8
Expanded maximized throughput,M,55,9
Ameliorated transitional hardware,M,54,10
Ameliorated dedicated process improvement,M,53,11
Face-to-face bi-directional info-mediaries,M,52,12
Automated stable analyzer,M,49,13
Inverse reciprocal secured line,U,100,1
Open-source system-worthy middleware,U,98,2
Decentralized bottom-line collaboration,U,74,3
Automated foreground success,U,68,4
Cross-platform client-driven time-frame,U,67,5
Upgradable global benchmark,U,62,6
Versatile bottom-line alliance,U,62,6
Ameliorated dedicated process improvement,U,60,8
Self-enabling real-time task-force,U,57,9
Team-oriented human-resource database,U,53,10
Ameliorated transitional hardware,U,52,11
Face-to-face bi-directional info-mediaries,U,51,12
Expanded maximized throughput,U,49,13
