Cinema,Movie,Tickets_Sold,Movie_Rank
"0083 Jasmine Canyon Suite 151, Illinois, Springfield",Stand-alone multimedia budgetary management,308,1
"0083 Jasmine Canyon Suite 151, Illinois, Springfield",Cross-platform high-level open system,212,2
"0083 Jasmine Canyon Suite 151, Illinois, Springfield",Horizontal optimal access,185,3
"0083 Jasmine Canyon Suite 151, Illinois, Springfield",Optional solution-oriented superstructure,183,4
"0083 Jasmine Canyon Suite 151, Illinois, Springfield",Optional bifurcated archive,181,5
"0151 Nicole Road Apt. 213, Washington, Tacoma",Enhanced interactive portal,341,1
"0151 Nicole Road Apt. 213, Washington, Tacoma",Integrated intangible success,217,2
"0151 Nicole Road Apt. 213, Washington, Tacoma",Monitored exuding model,217,2
"0151 Nicole Road Apt. 213, Washington, Tacoma",Visionary fault-tolerant Graphic Interface,216,4
"0151 Nicole Road Apt. 213, Washington, Tacoma",Exclusive holistic benchmark,211,5
"049 William Parkways, Georgia, Atlanta",Reverse-engineered attitude-oriented interface,201,1
"049 William Parkways, Georgia, Atlanta",Inverse reciprocal secured line,199,2
"049 William Parkways, Georgia, Atlanta",Quality-focused exuding neural-net,196,3
"049 William Parkways, Georgia, Atlanta",Distributed 5thgeneration circuit,119,4
"049 William Parkways, Georgia, Atlanta",Phased systemic migration,117,5
"0794 Miller Place, Pennsylvania, Allentown",Fully-configurable content-based instruction set,448,1
"0794 Miller Place, Pennsylvania, Allentown",Switchable contextually-based throughput,223,2
"0794 Miller Place, Pennsylvania, Allentown",Visionary fault-tolerant Graphic Interface,218,3
"0794 Miller Place, Pennsylvania, Allentown",Realigned even-keeled moderator,172,4
"0794 Miller Place, Pennsylvania, Allentown",Distributed real-time application,116,5
"1036 Edwards Flats Suite 078, Illinois, Peoria",Inverse full-range circuit,217,1
"1036 Edwards Flats Suite 078, Illinois, Peoria",Enterprise-wide holistic knowledge user,205,2
"1036 Edwards Flats Suite 078, Illinois, Peoria",Reverse-engineered full-range synergy,205,2
"1036 Edwards Flats Suite 078, Illinois, Peoria",Devolved systematic standardization,199,4
"1036 Edwards Flats Suite 078, Illinois, Peoria",Integrated intangible success,197,5
"1036 Edwards Flats Suite 078, Illinois, Peoria",Team-oriented demand-driven projection,197,5
