year,month,cinema_location,total_sales
1994,02,122 Mckee Flat Suite 088,7120
1994,02,22522 Savage Rest Suite 648,7745
1994,02,334 Simmons Branch Suite 380,7935
1994,02,3419 Griffin Keys,6875
1994,02,360 Jessica Square,7850
1994,02,3828 William Turnpike,6890
1994,02,478 Thomas Rest Apt. 466,7745
1994,02,577 Robinson Villages Apt. 588,10390
1994,02,5869 Willis Summit,3195
1994,02,6344 Douglas Brooks,8365
1994,02,70360 Jill Points,11090
1994,02,73551 West Spur,7740
1994,02,8292 Phillips Unions Apt. 404,3280
1994,02,87747 Ross Parks Apt. 527,8700
1994,02,88034 Baker Trafficway,25420
1994,02,8952 Zhang Prairie,8775
1994,03,1036 Edwards Flats Suite 078,8395
1994,03,122 Mckee Flat Suite 088,1345
1994,03,12635 Joseph Street Suite 224,7690
1994,03,150 Elizabeth Path Suite 550,8570
1994,03,2453 Mary Meadow Apt. 952,8230
1994,03,30546 Angela Grove,7290
1994,03,334 Simmons Branch Suite 380,18010
1994,03,3419 Griffin Keys,1050
1994,03,37403 Leonard Circles Apt. 238,7835
1994,03,3828 William Turnpike,10880
1994,03,468 Ashley Lock,8535
1994,03,478 Thomas Rest Apt. 466,6820
1994,03,5686 Jones Lane,8800
1994,03,577 Robinson Villages Apt. 588,4360
1994,03,5869 Willis Summit,5925
1994,03,6344 Douglas Brooks,9930
1994,03,70360 Jill Points,10665
1994,03,7120 Jennifer Station,8710
1994,03,821 Ruben Forges,7415
1994,03,8292 Phillips Unions Apt. 404,20600
1994,03,87747 Ross Parks Apt. 527,8840
1994,03,91617 Cole Underpass,5990
1994,04,0151 Nicole Road Apt. 213,8525
1994,04,0794 Miller Place,1995
1994,04,1036 Edwards Flats Suite 078,6400
1994,04,12635 Joseph Street Suite 224,7230
1994,04,150 Elizabeth Path Suite 550,3125
1994,04,1835 Charles Trail,2660
1994,04,1921 Gonzalez Trace Apt. 906,16600
1994,04,2453 Mary Meadow Apt. 952,7995
1994,04,2562 Don Garden Suite 520,9325
1994,04,30546 Angela Grove,9950
1994,04,4556 Lydia Junctions,4315
1994,04,478 Thomas Rest Apt. 466,1660
1994,04,680 Shawn Valleys,9625
1994,04,70360 Jill Points,8645
1994,04,7120 Jennifer Station,8730
1994,04,87747 Ross Parks Apt. 527,6535
1994,04,91641 John Islands,11635
1994,04,9944 April Squares,7480
1994,05,0151 Nicole Road Apt. 213,10285
1994,05,049 William Parkways,1210
1994,05,0794 Miller Place,13965
1994,05,150 Elizabeth Path Suite 550,14565
1994,05,1835 Charles Trail,14480
1994,05,1921 Gonzalez Trace Apt. 906,8870
1994,05,22522 Savage Rest Suite 648,3115
1994,05,2453 Mary Meadow Apt. 952,9855
1994,05,30546 Angela Grove,1380
1994,05,37403 Leonard Circles Apt. 238,14630
1994,05,38500 Robert Meadow,9045
1994,05,4556 Lydia Junctions,5050
1994,05,4620 Shannon Dale Suite 351,16625
1994,05,468 Ashley Lock,2435
1994,05,478 Thomas Rest Apt. 466,8520
1994,05,537 Mejia Wall Suite 409,8105
1994,05,5567 Johnston Lodge Suite 478,6280
1994,05,5869 Willis Summit,8180
1994,05,6344 Douglas Brooks,9170
1994,05,70360 Jill Points,9265
1994,05,7083 Mahoney Street,14260
1994,05,73551 West Spur,23735
1994,05,821 Ruben Forges,16730
