address,city,state,hall,size
30546 Angela Grove,Savannah,Georgia,0,100
821 Ruben Forges,Rochester,New York,0,225
87747 Ross Parks Apt. 527,Chicago,Illinois,0,325
0151 Nicole Road Apt. 213,Tacoma,Washington,0,275
37403 Leonard Circles Apt. 238,Spokane,Washington,0,175
5869 Willis Summit,Springfield,Illinois,0,325
8952 Zhang Prairie,Peoria,Illinois,0,375
1835 Charles Trail,Savannah,Georgia,0,150
0083 Jasmine Canyon Suite 151,Springfield,Illinois,0,325
122 Mckee Flat Suite 088,Tampa,Florida,0,200
577 Robinson Villages Apt. 588,Tacoma,Washington,0,375
1921 Gonzalez Trace Apt. 906,San Diego,California,0,50
22522 Savage Rest Suite 648,Miami,Florida,0,275
2562 Don Garden Suite 520,Rochester,New York,0,375
4556 Lydia Junctions,Tampa,Florida,0,100
537 Mejia Wall Suite 409,Seattle,Washington,0,375
91641 John Islands,Dallas,Texas,0,375
8292 Phillips Unions Apt. 404,Orlando,Florida,0,150
468 Ashley Lock,Tampa,Florida,0,400
38418 Vincent Passage Suite 503,Atlanta,Georgia,0,325
96005 Barber Flats Apt. 267,Austin,Texas,0,300
1036 Edwards Flats Suite 078,Peoria,Illinois,0,150
264 Marshall Islands,Buffalo,New York,0,400
7083 Mahoney Street,Savannah,Georgia,0,325
12635 Joseph Street Suite 224,Savannah,Georgia,0,375
834 Christine Orchard Apt. 381,Chicago,Illinois,0,275
38500 Robert Meadow,Tacoma,Washington,0,125
2453 Mary Meadow Apt. 952,Orlando,Florida,0,150
8168 Weaver Plaza Apt. 175,Chicago,Illinois,0,125
478 Thomas Rest Apt. 466,Seattle,Washington,0,150
1697 Coleman Fork Suite 182,Los Angeles,California,0,325
88034 Baker Trafficway,Allentown,Pennsylvania,0,25
70360 Jill Points,Austin,Texas,0,75
360 Jessica Square,Pittsburgh,Pennsylvania,0,225
5567 Johnston Lodge Suite 478,Los Angeles,California,0,225
150 Elizabeth Path Suite 550,Buffalo,New York,0,50
049 William Parkways,Atlanta,Georgia,0,250
5686 Jones Lane,Savannah,Georgia,0,125
3419 Griffin Keys,Allentown,Pennsylvania,0,325
4620 Shannon Dale Suite 351,Los Angeles,California,0,225
6344 Douglas Brooks,Augusta,Georgia,0,250
73551 West Spur,Rochester,New York,0,250
9944 April Squares,San Diego,California,0,275
617 Jones Drive Suite 929,Los Angeles,California,0,375
7120 Jennifer Station,San Diego,California,0,175
0794 Miller Place,Allentown,Pennsylvania,0,175
91617 Cole Underpass,Tampa,Florida,0,175
3828 William Turnpike,Augusta,Georgia,0,25
680 Shawn Valleys,Atlanta,Georgia,0,125
334 Simmons Branch Suite 380,Atlanta,Georgia,0,150
30546 Angela Grove,Savannah,Georgia,1,25
821 Ruben Forges,Rochester,New York,1,125
87747 Ross Parks Apt. 527,Chicago,Illinois,1,250
0151 Nicole Road Apt. 213,Tacoma,Washington,1,150
37403 Leonard Circles Apt. 238,Spokane,Washington,1,400
5869 Willis Summit,Springfield,Illinois,1,75
8952 Zhang Prairie,Peoria,Illinois,1,100
1835 Charles Trail,Savannah,Georgia,1,325
0083 Jasmine Canyon Suite 151,Springfield,Illinois,1,175
122 Mckee Flat Suite 088,Tampa,Florida,1,400
577 Robinson Villages Apt. 588,Tacoma,Washington,1,75
1921 Gonzalez Trace Apt. 906,San Diego,California,1,225
22522 Savage Rest Suite 648,Miami,Florida,1,25
2562 Don Garden Suite 520,Rochester,New York,1,175
4556 Lydia Junctions,Tampa,Florida,1,125
537 Mejia Wall Suite 409,Seattle,Washington,1,375
91641 John Islands,Dallas,Texas,1,150
8292 Phillips Unions Apt. 404,Orlando,Florida,1,125
468 Ashley Lock,Tampa,Florida,1,200
38418 Vincent Passage Suite 503,Atlanta,Georgia,1,75
96005 Barber Flats Apt. 267,Austin,Texas,1,250
1036 Edwards Flats Suite 078,Peoria,Illinois,1,175
264 Marshall Islands,Buffalo,New York,1,175
7083 Mahoney Street,Savannah,Georgia,1,275
12635 Joseph Street Suite 224,Savannah,Georgia,1,300
834 Christine Orchard Apt. 381,Chicago,Illinois,1,150
38500 Robert Meadow,Tacoma,Washington,1,225
2453 Mary Meadow Apt. 952,Orlando,Florida,1,25
8168 Weaver Plaza Apt. 175,Chicago,Illinois,1,325
478 Thomas Rest Apt. 466,Seattle,Washington,1,275
1697 Coleman Fork Suite 182,Los Angeles,California,1,325
88034 Baker Trafficway,Allentown,Pennsylvania,1,275
