dateTime,movieId,hall,size,state,city,address
1998-02-24 02:00:00,449,5,125,Illinois,Springfield,5869 Willis Summit
2002-04-25 15:15:00,415,1,375,Washington,Seattle,537 Mejia Wall Suite 409
2008-07-18 10:45:00,175,3,300,Florida,Tampa,122 Mckee Flat Suite 088
2009-10-31 16:45:00,312,9,200,Florida,Miami,22522 Savage Rest Suite 648
2006-08-06 18:30:00,28,5,225,New York,Rochester,821 Ruben Forges
2012-02-07 03:15:00,119,7,100,Pennsylvania,Pittsburgh,360 Jessica Square
2019-10-04 23:00:00,112,9,25,New York,Rochester,821 Ruben Forges
2004-03-18 09:30:00,226,1,150,California,Los Angeles,4620 Shannon Dale Suite 351
2021-05-17 21:45:00,209,2,350,Florida,Miami,22522 Savage Rest Suite 648
2004-02-18 13:00:00,455,8,325,Georgia,Savannah,30546 Angela Grove
1999-10-02 19:30:00,217,9,50,Washington,Seattle,478 Thomas Rest Apt. 466
2002-02-09 19:45:00,277,6,300,Washington,Tacoma,577 Robinson Villages Apt. 588
2003-09-06 23:00:00,181,0,375,Texas,Dallas,91641 John Islands
2014-07-18 20:00:00,242,1,325,Georgia,Atlanta,680 Shawn Valleys
2022-08-04 06:15:00,211,2,350,Georgia,Savannah,5686 Jones Lane
2021-01-27 09:45:00,364,3,350,Georgia,Augusta,3828 William Turnpike
2014-09-30 05:45:00,435,3,50,Georgia,Savannah,1835 Charles Trail
2010-12-03 20:15:00,482,5,125,Washington,Seattle,478 Thomas Rest Apt. 466
2014-10-06 09:30:00,435,2,175,Georgia,Savannah,12635 Joseph Street Suite 224
2009-06-07 09:00:00,234,8,100,Florida,Tampa,122 Mckee Flat Suite 088
1995-05-28 06:30:00,494,7,175,Texas,Dallas,91641 John Islands
1994-08-19 10:00:00,108,6,50,Washington,Tacoma,0151 Nicole Road Apt. 213
2006-12-19 05:00:00,48,4,250,Florida,Orlando,2453 Mary Meadow Apt. 952
2021-04-07 07:00:00,327,7,250,Illinois,Springfield,5869 Willis Summit
1996-12-19 04:00:00,4,1,100,California,Los Angeles,5567 Johnston Lodge Suite 478
2011-11-13 01:45:00,288,2,250,Florida,Tampa,122 Mckee Flat Suite 088
1998-08-01 07:15:00,13,6,350,Florida,Orlando,8292 Phillips Unions Apt. 404
2002-02-19 17:15:00,310,5,375,Texas,Austin,70360 Jill Points
1998-12-10 11:15:00,400,1,275,Washington,Seattle,478 Thomas Rest Apt. 466
2024-01-22 15:30:00,103,6,25,California,San Diego,7120 Jennifer Station
2012-06-25 07:45:00,99,5,200,Texas,Austin,96005 Barber Flats Apt. 267
1995-10-09 05:45:00,101,3,125,California,San Diego,7120 Jennifer Station
2014-02-09 00:30:00,30,2,75,California,Los Angeles,617 Jones Drive Suite 929
2014-07-26 01:30:00,403,5,125,Illinois,Springfield,5869 Willis Summit
1997-04-15 07:00:00,1,5,250,Washington,Seattle,537 Mejia Wall Suite 409
2008-07-01 22:45:00,313,7,350,Washington,Tacoma,577 Robinson Villages Apt. 588
2014-04-04 01:45:00,63,2,275,California,San Diego,7120 Jennifer Station
2020-06-19 03:45:00,29,9,175,Georgia,Savannah,30546 Angela Grove
1998-06-24 04:15:00,120,9,25,Georgia,Atlanta,38418 Vincent Passage Suite 503
1998-12-06 19:00:00,385,6,75,California,Los Angeles,617 Jones Drive Suite 929
1998-04-18 04:45:00,186,2,75,California,Los Angeles,617 Jones Drive Suite 929
2002-01-16 03:00:00,458,3,275,Georgia,Savannah,30546 Angela Grove
2014-11-30 03:15:00,411,9,150,Florida,Tampa,468 Ashley Lock
2006-04-12 02:15:00,219,5,175,California,San Diego,7120 Jennifer Station
2011-04-25 07:00:00,392,8,200,California,Los Angeles,1697 Coleman Fork Suite 182
2014-09-30 01:15:00,246,3,275,California,San Diego,9944 April Squares
1998-01-18 15:30:00,371,9,50,California,Los Angeles,617 Jones Drive Suite 929
2001-09-05 08:30:00,431,7,325,Georgia,Savannah,12635 Joseph Street Suite 224
2011-08-11 01:15:00,187,8,150,New York,Rochester,821 Ruben Forges
2004-08-13 18:30:00,71,8,75,California,San Diego,1921 Gonzalez Trace Apt. 906
2012-06-28 14:00:00,99,5,25,Georgia,Savannah,30546 Angela Grove
2004-09-25 17:30:00,59,5,200,Texas,Austin,96005 Barber Flats Apt. 267
2021-05-03 02:45:00,45,1,25,Florida,Miami,22522 Savage Rest Suite 648
1995-05-23 18:30:00,494,6,50,Georgia,Augusta,3828 William Turnpike
2023-07-05 21:45:00,23,1,175,Illinois,Peoria,1036 Edwards Flats Suite 078
1996-11-06 23:15:00,82,9,350,Texas,Dallas,91641 John Islands
1999-05-25 09:30:00,289,6,300,Texas,Austin,70360 Jill Points
1997-09-19 19:00:00,374,4,150,Georgia,Augusta,6344 Douglas Brooks
2013-09-19 21:30:00,37,0,325,Pennsylvania,Allentown,3419 Griffin Keys
2004-09-21 09:15:00,102,0,25,Pennsylvania,Allentown,88034 Baker Trafficway
2016-10-19 19:00:00,174,4,225,California,San Diego,7120 Jennifer Station
2014-12-30 01:30:00,280,8,150,Georgia,Savannah,1835 Charles Trail
2012-10-29 14:30:00,321,1,125,Florida,Orlando,8292 Phillips Unions Apt. 404
2010-12-31 08:15:00,482,4,400,New York,Buffalo,150 Elizabeth Path Suite 550
1997-10-18 22:30:00,491,2,175,Florida,Orlando,2453 Mary Meadow Apt. 952
2019-04-26 07:30:00,439,5,200,Texas,Austin,96005 Barber Flats Apt. 267
2004-03-10 13:15:00,226,6,250,Illinois,Chicago,834 Christine Orchard Apt. 381
2006-10-12 11:30:00,111,9,175,Georgia,Savannah,30546 Angela Grove
1994-08-01 05:45:00,108,4,400,New York,Buffalo,150 Elizabeth Path Suite 550
2018-08-05 22:30:00,382,4,25,Georgia,Savannah,7083 Mahoney Street
2011-11-14 16:30:00,288,0,225,New York,Rochester,821 Ruben Forges
2021-03-27 18:15:00,361,3,300,Florida,Tampa,122 Mckee Flat Suite 088
2015-04-27 03:45:00,343,5,25,Georgia,Savannah,30546 Angela Grove
2022-03-08 11:30:00,5,8,325,Georgia,Savannah,12635 Joseph Street Suite 224
1994-08-20 16:00:00,108,2,250,Florida,Tampa,4556 Lydia Junctions
2023-04-30 05:15:00,231,9,50,Washington,Seattle,478 Thomas Rest Apt. 466
2014-07-04 05:00:00,161,3,400,Florida,Orlando,8292 Phillips Unions Apt. 404
2013-02-02 17:15:00,315,7,75,Washington,Seattle,478 Thomas Rest Apt. 466
2003-01-30 06:00:00,11,2,50,Georgia,Atlanta,680 Shawn Valleys
2015-03-05 06:15:00,134,6,300,Georgia,Savannah,12635 Joseph Street Suite 224
2022-09-20 03:30:00,487,6,50,Illinois,Peoria,8952 Zhang Prairie
2013-10-12 11:45:00,37,5,150,Florida,Tampa,91617 Cole Underpass
2008-04-07 02:00:00,339,5,375,New York,Buffalo,150 Elizabeth Path Suite 550
